W,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,TS1,TS2,TS3,TS4,TS5,TS6,TS7,TS8,H1,H2,H3,H4,V,NinB,NW,GW,L,W,D,Paint,LC,PVCT,C,A,PP,ABS,PC,NAT,R,ESM,i20,CF,S,PVC,Type,Pack,Stick,WPL,TC
23,0,0,0,0,0,2200,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,8,48,3408,4115,565,350,300,0.2,3,20,0,0,1,0,0,0,0,0,0,0,0,0,B,1,0,0,2.825889602
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,50,4600,4605,420,305,250,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,PB,1,0,0,2.138352197
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2850,0,0,0,0,0,0,0,16,75,1650,2185,420,305,250,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,B,1,0,0,0.224436383
23,0,0,0,0,0,0,0,0,0,0,0,0,0,5700,0,0,0,0,0,0,0,0,0,0,100,3500,3975,420,305,250,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1.317816041
58,0,0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,50,4800,5505,565,350,300,0,1,20,0,0,0,1,0,0,0,0,0,0,0,0,B,1,0,1,6.360635008
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,24,6170,7145,560,470,330,1.6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,BOX,1,0,1,8.136186468
67,0,0,0,0,0,0,0,0,3200,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2760,3235,420,305,250,0.6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,PB,1,0,0,1.364658559
69,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,60,4560,5160,420,305,250,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,PB,1,0,0,1.823320042
102,0,0,0,0,0,1900,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4200,4905,565,350,300,0.9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,PB,1,0,0,2.328686014
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,80,8080,9300,560,470,330,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,C,1,0,0,2.341215587
